State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Karnataka,Chitradurga,"Holalkere APMC",Arecanut(Betelnut/Supari),Other,Local,06/01/2026,26295,26295,26295
Karnataka,"Mangalore(Dakshin Kannad)","Sulya APMC","Black pepper",Malabar,Local,06/01/2026,31000,67500,56000
Karnataka,Kolar,"Bhagepalli APMC","Green Chilli","Green Chilly",Small,06/01/2026,2000,3000,2800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Orange,Orange,Large,06/01/2026,3000,4500,3500
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Banana,"Pachha Bale",Local,06/01/2026,600,1500,1050
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Banana,"Elakki Bale",Local,06/01/2026,1000,6000,3500
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Water Melon","Water Melon",Local,06/01/2026,800,1500,1200
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Bitter gourd","Bitter Gourd",Local,06/01/2026,2500,2800,2700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Raddish,Raddish,Local,06/01/2026,1500,1800,1600
Karnataka,Bijapur,"Bijapur APMC","Bengal Gram(Gram)(Whole)","Average (Whole)",Local,06/01/2026,5510,5510,5510
Karnataka,Bijapur,"Bijapur APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,Local,06/01/2026,2269,2269,2269
Karnataka,Bijapur,"Bijapur APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,6300,7100,6800
Karnataka,Davangere,"Davangere APMC",Orange,Orange,Local,06/01/2026,3000,4000,3500
Karnataka,Davangere,"Davangere APMC",Banana,"Elakki Bale",Local,06/01/2026,2800,3800,3300
Karnataka,Davangere,"Davangere APMC",Potato,Potato,Local,06/01/2026,1800,2200,2000
Karnataka,Davangere,"Davangere APMC",Brinjal,Round/Long,Local,06/01/2026,800,1500,1200
Karnataka,Davangere,"Davangere APMC","Kulthi(Horse Gram)","Horse gram (Whole)",Local,06/01/2026,3500,3500,3500
Karnataka,Davangere,"Davangere APMC","Sweet Pumpkin","Sweet Pumpkin",Local,06/01/2026,1000,1600,1300
Karnataka,Davangere,"Davangere APMC","Knool Khol","Knool Khol",Local,06/01/2026,2000,3200,2700
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Rice,Medium,Local,06/01/2026,2100,2100,2100
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Maize,Local,Local,06/01/2026,1700,1962,1955
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Cotton,Jayadhar,Local,06/01/2026,8200,8200,8200
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Coriander(Leaves),Local,Local,06/01/2026,8621,8621,8621
Karnataka,Haveri,"Ranebennur APMC",Tomato,Tomato,Medium,06/01/2026,1200,2500,2200
Karnataka,Haveri,"Ranebennur APMC","Green Chilli","Green Chilly",Medium,06/01/2026,2300,3600,2500
Karnataka,Raichur,"Raichur APMC",Paddy(Common),"Sona Mahsuri",FAQ,06/01/2026,2009,2709,2599
Karnataka,Raichur,"Raichur APMC",Groundnut,"Gungri (With Shell)",FAQ,06/01/2026,6700,7900,6975
Karnataka,Raichur,"Raichur APMC",Cotton,F-1054,Local,06/01/2026,6000,7990,7572
Karnataka,Bangalore,"Doddaballa Pur APMC","Bitter gourd","Bitter Gourd",Medium,06/01/2026,2500,3100,2800
Karnataka,Bangalore,"Doddaballa Pur APMC",Carrot,Other,Medium,06/01/2026,2500,3200,2800
Karnataka,Kolar,"Malur APMC",Beans,"Beans (Whole)",Local,06/01/2026,2200,2800,2500
Karnataka,Chamrajnagar,"Gundlupet APMC",Tomato,Tomato,Local,06/01/2026,3400,3400,3400
Karnataka,Bagalkot,"Bagalakot APMC","Bengal Gram(Gram)(Whole)","Average (Whole)",Local,06/01/2026,5500,5800,5518
Karnataka,Kalburgi,"Kalburgi APMC",Rice,"Broken Rice",Local,06/01/2026,2100,3100,2750
Karnataka,Kalburgi,"Kalburgi APMC",Pineapple,"Pine Apple",Local,06/01/2026,2000,5000,3500
Karnataka,Kalburgi,"Kalburgi APMC","Water Melon","Water Melon",Local,06/01/2026,1000,2000,1500
Karnataka,Kalburgi,"Kalburgi APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,1000,3000,2000
Karnataka,Bellary,"Kottur APMC",Sunflower,Hybrid,Local,06/01/2026,6059,9760,8660
Karnataka,Bellary,"Kottur APMC",Cowpea(Lobia/Karamani),"Cowpea (Whole)",Local,06/01/2026,7069,7140,7115
Karnataka,Bellary,"Kottur APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,3911,6359,6024
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,2000,2500,2300
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Tomato,Tomato,Local,06/01/2026,2500,3000,2750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Beans,"Beans (Whole)",Local,06/01/2026,2000,2500,2300
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Arecanut(Betelnut/Supari),Other,Local,06/01/2026,54767,54767,54767
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Carrot,Carrot,Local,06/01/2026,1500,2000,1750
Karnataka,Kolar,"Bangarpet APMC",Paddy(Common),Paddy,Local,06/01/2026,1500,2300,2042
Karnataka,Kolar,"Bangarpet APMC","Chilly Capsicum","Chilly Capsicum",Local,06/01/2026,1300,2300,2000
Karnataka,Kolar,"Bangarpet APMC",Beetroot,Beetroot,Local,06/01/2026,1000,2000,1500
Karnataka,Kolar,"Bangarpet APMC",Raddish,Raddish,Local,06/01/2026,300,1000,500
Karnataka,Bangalore,"Ramanagara APMC",Brinjal,Round,Local,06/01/2026,1000,1600,1200
Karnataka,Bangalore,"Ramanagara APMC",Beetroot,Beetroot,Local,06/01/2026,2400,3000,2800
Karnataka,Bangalore,"Ramanagara APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,400,600,500
Karnataka,Bangalore,"Ramanagara APMC",Thondekai,Thondekai,Local,06/01/2026,2800,4000,3200
Karnataka,Shimoga,"Sagar APMC",Arecanut(Betelnut/Supari),Bilegotu,Local,06/01/2026,30700,36521,30700
Karnataka,Tumkur,"Tumkur APMC",Garlic,Garlic,Local,06/01/2026,7500,14000,9500
Karnataka,"Karwar(Uttar Kannad)","Karwar APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,1900,2100,2000
Karnataka,"Karwar(Uttar Kannad)","Haliyala APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2250,2500,2350
Karnataka,Madikeri(Kodagu),"Somvarpet APMC",Ginger(Green),"Green Ginger","Grade Range-1",06/01/2026,1500,1666,1666
Karnataka,Bangalore,"Bangalore APMC",Onion,Bangalore-Samall,Small,06/01/2026,200,1000,500
Karnataka,Bangalore,"Bangalore APMC",Onion,Local,Medium,06/01/2026,1000,1500,1200
Karnataka,Bangalore,"Bangalore APMC",Ginger(Green),"Green Ginger",Medium,06/01/2026,3300,4300,3800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Grapes,White,Local,06/01/2026,3000,5000,4000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Brinjal,Brinjal,Local,06/01/2026,1800,2000,1900
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Bottle gourd","Bottle Gourd",Local,06/01/2026,1800,2200,2000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Green Chilli","Green Chilly",Local,06/01/2026,4000,5000,4500
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Beans,"Beans (Whole)",Local,06/01/2026,2000,2500,2300
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Sweet Potato","Sweet Potato",Local,06/01/2026,2200,2600,2400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Carrot,Carrot,Local,06/01/2026,3500,4000,3800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Chapparad Avare","Chapparada Avarekai",Local,06/01/2026,3400,3600,3500
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Seemebadnekai,Seemebadanekai,Local,06/01/2026,1000,1300,1200
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Karbuja(Musk Melon)",Karbhuja,Local,06/01/2026,1000,2000,1500
Karnataka,Bijapur,"Bijapur APMC",Onion,Onion,Local,06/01/2026,300,2300,1108
Karnataka,Bijapur,"Bijapur APMC",Copra,Copra,Local,06/01/2026,8400,9000,8700
Karnataka,Davangere,"Davangere APMC",Banana,"Pachha Bale",Local,06/01/2026,800,1500,1200
Karnataka,Davangere,"Davangere APMC","Ragi(Finger Millet)",Local,Local,06/01/2026,3671,3928,3726
Karnataka,Davangere,"Davangere APMC","Mousambi(Sweet Lime)",Mousambi,Local,06/01/2026,3000,4000,3500
Karnataka,Davangere,"Davangere APMC","Bitter gourd","Bitter Gourd",Local,06/01/2026,1900,2900,2400
Karnataka,Davangere,"Davangere APMC","Bottle gourd","Bottle Gourd",Local,06/01/2026,1600,2700,2100
Karnataka,Davangere,"Davangere APMC",Beans,"Beans (Whole)",Local,06/01/2026,2200,3600,2800
Karnataka,Davangere,"Davangere APMC",Beetroot,Beetroot,Local,06/01/2026,1600,2800,2200
Karnataka,Davangere,"Davangere APMC",Thondekai,Thondekai,Local,06/01/2026,1900,2900,2400
Karnataka,Davangere,"Davangere APMC","Bunch Beans","Bunch Beans",Local,06/01/2026,2000,3500,2800
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Potato,Potato,Local,06/01/2026,1000,1600,1300
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Black Gram Dal(Urd Dal)","Black Gram Dal",Local,06/01/2026,8500,10400,8500
Karnataka,Raichur,"Sindhanur APMC","Bengal Gram(Gram)(Whole)","Average (Whole)",Local,06/01/2026,4235,4235,4235
Karnataka,Davangere,"Honnali APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2500,2500,2500
Karnataka,Davangere,"Honnali APMC",Maize,Local,Local,06/01/2026,1850,2000,1918
Karnataka,Davangere,"Honnali APMC",Brinjal,Brinjal,Local,06/01/2026,1400,1600,1520
Karnataka,Davangere,"Honnali APMC",Arecanut(Betelnut/Supari),EDI,Local,06/01/2026,24000,24400,24207
Karnataka,Bangalore,"Doddaballa Pur APMC",Beetroot,Beetroot,Medium,06/01/2026,1800,2200,2000
Karnataka,Mysore,"Hunsur APMC",Ginger(Green),"Green Ginger",Local,06/01/2026,1100,1700,1700
Karnataka,Chamrajnagar,"Gundlupet APMC","Green Chilli","Green Chilly",Local,06/01/2026,2800,2800,2800
Karnataka,Kolar,"Bhagepalli APMC",Carrot,Carrot,Small,06/01/2026,1600,2200,2000
Karnataka,Kolar,"Bhagepalli APMC",Brinjal,Brinjal,Small,06/01/2026,300,500,400
Karnataka,Kalburgi,"Kalburgi APMC",Apple,Apple,Local,06/01/2026,7000,8000,7500
Karnataka,Kalburgi,"Kalburgi APMC",Orange,Orange,Local,06/01/2026,3000,4000,3500
Karnataka,Kalburgi,"Kalburgi APMC","Green Chilli","Green Chilly",Local,06/01/2026,2000,3000,2500
Karnataka,Kalburgi,"Kalburgi APMC",Jaggery,Other,Local,06/01/2026,2200,3800,3100
Karnataka,Kalburgi,"Kalburgi APMC",Capsicum,Capsicum,Local,06/01/2026,2000,3000,2500
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC","Tender Coconut","Tender Coconut",Local,06/01/2026,20000,23000,20400
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2000,2500,2250
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Brinjal,Round/Long,Local,06/01/2026,1500,2000,1750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC","Green Chilli","Green Chilly",Local,06/01/2026,2500,3000,2750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Beetroot,Beetroot,Local,06/01/2026,2000,2500,2300
Karnataka,Chikmagalur,"Chikkamagalore APMC",Tomato,Tomato,Local,06/01/2026,2504,2704,2604
Karnataka,Chitradurga,"Chitradurga APMC",Arecanut(Betelnut/Supari),Bette,Local,06/01/2026,38619,39059,38849
Karnataka,Chitradurga,"Chitradurga APMC",Arecanut(Betelnut/Supari),api,Local,06/01/2026,57439,57869,57689
Karnataka,"Mangalore(Dakshin Kannad)","Mangalore APMC","Dry Chillies",Other,Local,06/01/2026,17000,26600,20000
Karnataka,"Mangalore(Dakshin Kannad)","Puttur APMC",Arecanut(Betelnut/Supari),"New Variety",Local,06/01/2026,26000,44500,30800
Karnataka,"Mangalore(Dakshin Kannad)","Puttur APMC",Arecanut(Betelnut/Supari),Cqca,Local,06/01/2026,20000,35500,29700
Karnataka,Kolar,"Bangarpet APMC",Potato,Local,Local,06/01/2026,1000,2000,1500
Karnataka,Kolar,"Bangarpet APMC","Knool Khol","Knool Khol",Local,06/01/2026,900,2000,1500
Karnataka,Bangalore,"Ramanagara APMC",Cauliflower,Cauliflower,Local,06/01/2026,1200,2000,1600
Karnataka,Bangalore,"Ramanagara APMC","Bitter gourd","Bitter Gourd",Local,06/01/2026,2800,3500,3000
Karnataka,Bangalore,"Ramanagara APMC",Carrot,Carrot,Local,06/01/2026,3000,4000,3500
Karnataka,Bangalore,"Ramanagara APMC",Capsicum,Capsicum,Local,06/01/2026,3000,4800,4000
Karnataka,Bangalore,"Ramanagara APMC","Green Avare(W)","Green Avare (W)",Local,06/01/2026,3200,4000,3500
Karnataka,Bangalore,"Ramanagara APMC","Sweet Pumpkin","Sweet Pumpkin",Local,06/01/2026,700,1200,1000
Karnataka,Bangalore,"Ramanagara APMC","Peas Wet","Peas Wet",Local,06/01/2026,3400,4000,3800
Karnataka,Bangalore,"Ramanagara APMC",Seemebadnekai,Seemebadanekai,Local,06/01/2026,600,1000,800
Karnataka,Shimoga,"Sagar APMC",Arecanut(Betelnut/Supari),Rashi,Local,06/01/2026,58789,58789,58789
Karnataka,Shimoga,"Sagar APMC",Arecanut(Betelnut/Supari),Chali,Local,06/01/2026,34099,45550,34099
Karnataka,Shimoga,"Bhadravathi APMC",Rice,Medium,Local,06/01/2026,2500,2500,2500
Karnataka,Shimoga,"Bhadravathi APMC",Arecanut(Betelnut/Supari),Sippegotu,Local,06/01/2026,10000,14000,10000
Karnataka,Tumkur,"Tumkur APMC",Onion,Other,Local,06/01/2026,2000,3400,2800
Karnataka,Madikeri(Kodagu),"Somvarpet APMC",Maize,Local,"Grade Range-1",06/01/2026,1900,1900,1900
Karnataka,Bangalore,"Bangalore APMC",Onion,Onion,Large,06/01/2026,1500,2700,1700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Pineapple,"Pine Apple",Local,06/01/2026,2000,4000,3000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Cauliflower,Cauliflower,Local,06/01/2026,1800,2200,2000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Papaya,Papaya,Local,06/01/2026,800,1600,1200
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Beetroot,Beetroot,Local,06/01/2026,2200,2600,2400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","White Pumpkin","White Pumpkin",Local,06/01/2026,1500,1800,1700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,1500,1800,1600
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Capsicum,Capsicum,Local,06/01/2026,3500,4000,3800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Alsandikai,Alsandikai,Local,06/01/2026,2200,2400,2300
Karnataka,Bijapur,"Bijapur APMC",Cotton,LH-1556,Local,06/01/2026,6719,7940,7693
Karnataka,Davangere,"Davangere APMC",Rice,Medium,Local,06/01/2026,2300,2890,2620
Karnataka,Davangere,"Davangere APMC",Maize,Local,Local,06/01/2026,1819,1956,1915
Karnataka,Davangere,"Davangere APMC",Cauliflower,Cauliflower,Local,06/01/2026,1800,2800,2300
Karnataka,Davangere,"Davangere APMC",Tomato,Tomato,Local,06/01/2026,1600,3000,2300
Karnataka,Davangere,"Davangere APMC","Sweet Potato","Sweet Potato",Local,06/01/2026,1700,2600,2200
Karnataka,Davangere,"Davangere APMC",Cabbage,Cabbage,Local,06/01/2026,800,1600,1300
Karnataka,Davangere,"Davangere APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,1000,2300,2200
Karnataka,Davangere,"Davangere APMC",Raddish,Raddish,Local,06/01/2026,1700,2800,2300
Karnataka,Davangere,"Davangere APMC",Seemebadnekai,Seemebadanekai,Local,06/01/2026,2000,3000,2600
Karnataka,Davangere,"Davangere APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,5859,5868,5862
Karnataka,Davangere,"Davangere APMC","Alasande Gram","Alasande Gram",Local,06/01/2026,7200,7200,7200
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Wheat,Jawari,Local,06/01/2026,2019,3200,3200
Karnataka,Dharwad,"Hubli (Amaragol) APMC","Black Gram(Urd Beans)(Whole)","Black Gram (Whole)",Local,06/01/2026,3026,6326,5266
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Onion,Puna,Local,06/01/2026,500,2600,1600
Karnataka,Haveri,"Ranebennur APMC","Ladies Finger","Ladies Finger",Medium,06/01/2026,1200,3200,2800
Karnataka,Haveri,"Ranebennur APMC","Green Avare(W)","Green Avare (W)",Medium,06/01/2026,2500,3500,2600
Karnataka,Mysore,"K.R.Nagar APMC","Tender Coconut","Tender Coconut",Small,06/01/2026,1900,2200,2000
Karnataka,Raichur,"Sindhanur APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,6750,7080,7050
Karnataka,Davangere,"Harappana Halli APMC",Jowar(Sorghum),"Jowar Hybrid",FAQ,06/01/2026,1960,1960,1960
Karnataka,Davangere,"Harappana Halli APMC","Ragi(Finger Millet)",Local,Local,06/01/2026,3700,3700,3700
Karnataka,Davangere,"Honnali APMC",Arecanut(Betelnut/Supari),Sippegotu,Local,06/01/2026,10000,10300,10067
Karnataka,Davangere,"Honnali APMC",Cabbage,Cabbage,Local,06/01/2026,800,1600,1240
Karnataka,Davangere,"Honnali APMC",Beetroot,Beetroot,Local,06/01/2026,1200,1600,1520
Karnataka,Bangalore,"Doddaballa Pur APMC",Cucumbar(Kheera),Cucumbar,Medium,06/01/2026,1000,1500,1300
Karnataka,Mysore,"Hunsur APMC",Rice,"Broken Rice",Local,06/01/2026,2200,2200,2200
Karnataka,Kolar,"Bhagepalli APMC",Tomato,Tomato,Small,06/01/2026,1000,4769,4307
Karnataka,Belgaum,"Kudchi APMC",Jaggery,Nizamabad,Local,06/01/2026,3950,4100,4000
Karnataka,Bagalkot,"Bagalakot APMC","Arhar(Tur/Red Gram)(Whole)","Arhar (Whole)",Local,06/01/2026,2703,7115,6535
Karnataka,Kalburgi,"Kalburgi APMC",Rice,Coarse,Local,06/01/2026,3150,4250,3650
Karnataka,Kalburgi,"Kalburgi APMC",Potato,Potato,Local,06/01/2026,1000,1400,1200
Karnataka,Kalburgi,"Kalburgi APMC",Tomato,Tomato,Local,06/01/2026,500,1000,750
Karnataka,Kalburgi,"Kalburgi APMC",Beans,"Beans (Whole)",Local,06/01/2026,3000,4000,3500
Karnataka,Bellary,"Kottur APMC",Jowar(Sorghum),"Jowar Hybrid",Local,06/01/2026,2185,2713,2227
Karnataka,Bellary,"Kottur APMC","Bajra(Pearl Millet/Cumbu)",Hybrid,Local,06/01/2026,1840,2230,1905
Karnataka,Bellary,"Kottur APMC","Ragi(Finger Millet)",Hybrid,Local,06/01/2026,3556,3913,3785
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Raddish,Raddish,Local,06/01/2026,2000,2500,2300
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Brinjal,Other,Local,06/01/2026,1500,2000,1750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Cabbage,Cabbage,Local,06/01/2026,1500,2000,1750
Karnataka,Chamrajnagar,"Chamaraj Nagar APMC",Cucumbar(Kheera),Cucumbar,Local,06/01/2026,800,1000,900
Karnataka,Chikmagalur,"Chikkamagalore APMC",Onion,Other,Local,06/01/2026,2565,2565,2565
Karnataka,Chikmagalur,"Chikkamagalore APMC",Beans,"Beans (Whole)",Local,06/01/2026,2565,2565,2565
Karnataka,Chitradurga,"Chitradurga APMC",Cotton,"Varalakshmi  (Ginned)",Local,06/01/2026,1569,9496,6281
Karnataka,Davangere,"Channagiri APMC",Arecanut(Betelnut/Supari),Rashi,"Grade Range-1",06/01/2026,56599,59209,58535
Karnataka,Hassan,"Arasikere APMC",Tomato,Tomato,Medium,06/01/2026,4000,4233,4233
Karnataka,Kolar,"Bangarpet APMC",Tomato,Tomato,Local,06/01/2026,700,2000,1500
Karnataka,Kolar,"Bangarpet APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,700,1500,1000
Karnataka,Kolar,"Bangarpet APMC",Capsicum,Capsicum,Local,06/01/2026,1000,2000,1500
Karnataka,Bangalore,"Ramanagara APMC","Bottle gourd","Bottle Gourd",Local,06/01/2026,800,1200,1000
Karnataka,Bangalore,"Ramanagara APMC","Green Chilli","Green Chilly",Local,06/01/2026,2400,4400,4000
Karnataka,Bangalore,"Ramanagara APMC","Ladies Finger","Ladies Finger",Local,06/01/2026,2400,3200,3000
Karnataka,Bangalore,"Ramanagara APMC",Drumstick,Drumstick,Local,06/01/2026,25000,27200,26500
Karnataka,Bangalore,"Ramanagara APMC","Knool Khol","Knool Khol",Local,06/01/2026,800,1200,1000
Karnataka,Shimoga,"Bhadravathi APMC",Maize,Local,Local,06/01/2026,1900,1950,1950
Karnataka,Tumkur,"Tumkur APMC",Paddy(Common),Sona,Local,06/01/2026,2100,2850,2380
Karnataka,Tumkur,"Tumkur APMC","Tamarind Fruit","Tamarind Fruit",Local,06/01/2026,8500,16800,10200
Karnataka,Bangalore,"Bangalore APMC",Onion,Puna,Local,06/01/2026,1000,2700,1400
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Banana,"Nendra Bale",Local,06/01/2026,1000,2600,1800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Grapes,Black,Local,06/01/2026,2000,4000,3000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Chikoos(Sapota),Sapota,Local,06/01/2026,2000,4000,3000
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Cabbage,Cabbage,Local,06/01/2026,1000,1200,1100
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC",Ridgeguard(Tori),Ridgeguard(Tori),Local,06/01/2026,2500,3000,2800
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Green Avare(W)","Green Avare (W)",Local,06/01/2026,2500,2800,2700
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Sweet Pumpkin","Sweet Pumpkin",Local,06/01/2026,800,1000,900
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Suvarna Gadde",Suvarnagadde,Local,06/01/2026,3800,4000,3900
Karnataka,Bangalore,"Binny Mill (F&V), Bangalore APMC","Bunch Beans","Bunch Beans",Local,06/01/2026,3600,4200,4000
Karnataka,Bijapur,"Bijapur APMC","Dry Grapes","Dry Grapes",Local,06/01/2026,25000,25000,25000
Karnataka,Davangere,"Davangere APMC",Paddy(Common),"Paddy Medium",Local,06/01/2026,2539,2589,2572
Karnataka,Davangere,"Davangere APMC",Sunflower,Local,Local,06/01/2026,5609,5609,5609
Karnataka,Davangere,"Davangere APMC",Pineapple,"Pine Apple",Local,06/01/2026,2000,3000,2500
Karnataka,Davangere,"Davangere APMC",Chikoos(Sapota),Sapota,Local,06/01/2026,2500,3500,3000
Karnataka,Davangere,"Davangere APMC",Papaya,Papaya,Local,06/01/2026,500,1000,800
Karnataka,Davangere,"Davangere APMC","Water Melon","Water Melon",Local,06/01/2026,2000,3000,2500
Karnataka,Davangere,"Davangere APMC","Green Avare(W)","Green Avare (W)",Local,06/01/2026,1800,2800,2300
Karnataka,Davangere,"Davangere APMC","Suvarna Gadde",Suvarnagadde,Local,06/01/2026,2000,3000,2400
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Jowar(Sorghum),"Jowar Hybrid",Local,06/01/2026,1709,3050,2600
Karnataka,Dharwad,"Hubli (Amaragol) APMC",Groundnut,Gejje,Local,06/01/2026,3509,7480,5521
